Forrest Gump,#,"De
Robert Zemeckis",#,"2h 20min
|
Comédie,
Drame,
Romance",#,"Avec
Tom Hanks,
Gary Sinise,
Robin Wright",#,"2,6",#,"4,6",#,,#,"Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump.",//
La Liste de Schindler,#,"De
Steven Spielberg",#,"3h 15min
|
Biopic,
Drame,
Historique",#,"Avec
Liam Neeson,
Ben Kingsley,
Ralph Fiennes",#,"4,2",#,"4,6",#,,#,"Evocation des années de guerre d'Oskar Schindler, industriel autrichien rentré à Cracovie en 1939 avec les troupes allemandes. Il va, tout au long de la guerre, protéger des juifs en les faisant travailler dans sa fabrique.",//
La Ligne verte,#,"De
Frank Darabont",#,"3h 09min
|
Policier,
Drame,
Fantastique",#,"Avec
Tom Hanks,
Michael Clarke Duncan,
David Morse",#,"2,8",#,"4,6",#,,#,"Paul Edgecomb, Gardien-chef du pénitencier de Cold Mountain en 1935, était chargé de veiller au bon déroulement des exécutions capitales. Parmi les prisonniers se trouvait un colosse du nom de John Coffey...",//
12 hommes en colère,#,"De
Sidney Lumet",#,"1h 35min
|
Drame,
Judiciaire",#,"Avec
Henry Fonda,
Martin Balsam,
John Fiedler",#,"5,0",#,"4,6",#,,#,"Lors d'un procès, un juré émet l'hypothèse que l'homme qu'il doit juger n'est peut-être pas coupable. Il va tenter de convaincre les onze autres jurés.",//
Le Parrain,#,"De
Francis Ford Coppola",#,"2h 55min
|
Policier,
Drame",#,"Avec
Marlon Brando,
Al Pacino,
James Caan",#,"4,6",#,"4,5",#,,#,"En 1945, à New York, les Corleone sont une des cinq familles de la mafia. Don Vito Corleone marie sa fille à un bookmaker. Sollozzo, ""parrain"" de la famille Tattaglia, propose à Don Vito une association dans le trafic de drogue...",//
Les Evadés,#,"De
Frank Darabont",#,"2h 22min
|
Drame",#,"Avec
Tim Robbins,
Morgan Freeman,
Bob Gunton",#,"3,2",#,"4,5",#,,#,"Condamné à perpétuité pour le meurtre de sa femme et de son amant, un banquier s'accroche à l'espoir et se lie d'amitié avec un autre détenu pour survivre en prison.",//
Le Seigneur des anneaux : le retour du roi,#,"De
Peter Jackson",#,"3h 21min
|
Aventure,
Fantastique",#,"Avec
Sean Astin,
Elijah Wood,
Viggo Mortensen",#,"3,8",#,"4,5",#,,#,"Tandis que les ténèbres se répandent sur la Terre du Milieu, Aragorn se révèle être l'héritier caché des rois antiques. Quant à Frodon, toujours tenté par l'Anneau, il voyage à travers les contrées ennemies, se reposant sur Sam et Gollum...",//
Le Roi Lion,#,"De
Roger Allers,
Rob Minkoff",#,"1h 29min
|
Aventure,
Animation,
Famille",#,"Avec
Emmanuel Curtil,
Matthew Broderick,
Dimitri Rougeul",#,"3,4",#,"4,5",#,à partir de 6 ans,#,"Le long combat de Simba le lionceau pour accéder à son rang de roi des animaux, après que le fourbe Scar, son oncle, a tué son père et pris sa place.",//
Vol au-dessus d'un nid de coucou,#,"De
Milos Forman",#,"2h 09min
|
Drame",#,"Avec
Jack Nicholson,
Louise Fletcher,
William Redfield",#,"5,0",#,"4,5",#,,#,Rebellion dans un hôpital psychiatrique à l'instigation d'un malade qui se révolte contre la dureté d'une infirmière.,//
"The Dark Knight, Le Chevalier Noir",#,"De
Christopher Nolan",#,"2h 32min
|
Action,
Thriller",#,"Avec
Christian Bale,
Philippe Valmont,
Heath Ledger",#,"4,0",#,"4,5",#,,#,Batman entreprend de démanteler les dernières organisations criminelles de Gotham. Mais il se heurte bientôt à un nouveau génie du crime qui répand la terreur et le chaos dans la ville : le Joker...,//
Il était une fois dans l'Ouest,#,"De
Sergio Leone",#,"2h 55min
|
Western",#,"Avec
Henry Fonda,
Charles Bronson,
Frank Wolff",#,"4,0",#,"4,5",#,,#,Un mystérieux desperado pourchasse sans relâche un dangereux criminel.,//
Il était une fois en Amérique,#,"De
Sergio Leone",#,"3h 49min
|
Policier,
Drame",#,"Avec
Robert De Niro,
James Woods,
Elizabeth McGovern",#,"4,9",#,"4,5",#,,#,"Il était une fois deux truands juifs, Max et Noodles, liés par un pacte d'éternelle amitié. Débutant au début du siècle par de fructueux trafics dans le ghetto de New York, ils voient leurs chemins se séparer, lorsque Noodles se retrouve durant quelques années derrière les barreaux, puis se recouper en pleine période de prohibition, dans les années vingt. Jusqu'au jour où la trahison les sépare à nouveau.",//
"Le Bon, la brute et le truand",#,"De
Sergio Leone",#,"3h 00min
|
Western",#,"Avec
Clint Eastwood,
Eli Wallach,
Lee Van Cleef",#,"4,1",#,"4,5",#,,#,"Pendant la Guerre de Sécession, Tuco, Joe et Setenza, trois hommes préférant s'intéresser à leur profit personnel, se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Chacun a besoin de l'autre...",//
Pulp Fiction,#,"De
Quentin Tarantino",#,"2h 29min
|
Policier,
Drame",#,"Avec
John Travolta,
Samuel L. Jackson,
Uma Thurman",#,"4,4",#,"4,5",#,,#,L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.,//
Interstellar,#,"De
Christopher Nolan",#,"2h 49min
|
Drame,
Science Fiction",#,"Avec
Matthew McConaughey,
Anne Hathaway,
Michael Caine",#,"3,8",#,"4,5",#,,#,Le film raconte les aventures d’un groupe d’explorateurs qui utilisent une faille récemment découverte dans l’espace-temps afin de repousser les limites humaines et partir à la conquête des distances astronomiques dans un voyage interstellaire.,//
Gladiator,#,"De
Ridley Scott",#,"2h 35min
|
Action,
Aventure,
Historique",#,"Avec
Russell Crowe,
Joaquin Phoenix,
Connie Nielsen",#,"4,3",#,"4,5",#,,#,"Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du ...",//
Le Seigneur des anneaux : la communauté de l'anneau,#,"De
Peter Jackson",#,"2h 58min
|
Aventure,
Fantastique",#,"Avec
Elijah Wood,
Sean Astin,
Ian McKellen",#,"3,7",#,"4,5",#,,#,"Frodon le Hobbit hérite de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu. Commence alors un vaste périple visant à la destruction de l'objet.",//
Django Unchained,#,"De
Quentin Tarantino",#,"2h 44min
|
Western",#,"Avec
Jamie Foxx,
Christoph Waltz,
Leonardo DiCaprio",#,"4,6",#,"4,5",#,,#,"Un chasseur de primes et un esclave noir s'associent pour retrouver la femme de ce dernier, retenue en esclavage par le propriétaire d'une plantation.",//
Le Seigneur des anneaux : les deux tours,#,"De
Peter Jackson",#,"2h 59min
|
Aventure,
Fantastique",#,"Avec
Elijah Wood,
Sean Astin,
Viggo Mortensen",#,"4,0",#,"4,5",#,,#,"Frodon Sacquet, le Hobbit, doit braver de terribles dangers pour tenter de détruire l'Anneau Unique, convoité par Sauron, le Seigneur des ténèbres. De leur côté, Gimli, Legolas et Aragorn doivent sauver Pippin et Merry, capturés par les Orques...",//
